movie_name,categories,movie_rate,description,country,release_date,duration,movie_link
Jackpot!,"Action, Comedy",5.8,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",USA,2024,106,https://goku.sx/movie/watch-jackpot-112720
The Beast Within,Horror,4.2,"Follows a ten-year-old girl as she starts to question her atypical life in her family's fortified compound in rural England, ultimately discovering that once a month, her father turns into a monster.",UK,2024,97,https://goku.sx/movie/watch-the-beast-within-112000
Watchmen: Chapter I,"Animation, Mystery, Science Fiction, Action",7.1,"In an alternate world history shaped by superheroes, once-celebrated costumed adventurers have been banned by a society disenchanted with vigilantism. Now, in 1985, the murder of The Comedian, a hero-turned-government operative, draws the attention of Rorschach, the last of the outlawed vigilantes. Rorschach’s investigation embroils his retired colleagues, Nite Owl, Silk Spectre, Dr. Manhattan and Ozymandias, in conflict with their pasts, with each other and in a mystery that threatens their lives and a world on the brink of war.",USA,2024,84,https://goku.sx/movie/watch-watchmen-chapter-i-112666
We Are Zombies,"Horror, Comedy, Thriller",5.5,In a city infested with the LIVING-IMPAIRED aka non-cannibal zombies - three slackers after easy money must fight small-time crooks and an evil megacorporation to save their kidnapped grandma.,"Canada, France",2024,80,https://goku.sx/movie/watch-we-are-zombies-112663
The Cursed,Horror,5.4,"After divorcing her husband, Alice has to take on the full duties of motherhood as a single person. In caring for a son like August A high school boy who grew up questioning his father about his background. On the day August turns 15, some mysterious promises from the past begin to follow him gradually. His father's broken orders before he died became the trigger for August's death. Witness the horrors of Manohrah's mysticism trying to draw him back to his own retribution. Alice, who believes in reason and right, must do everything she can to keep her only son.",Thailand,2024,94,https://goku.sx/movie/watch-the-cursed-112624
Twisters,"Action, Thriller, Adventure",6.7,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",USA,2024,122,https://goku.sx/movie/watch-twisters-111355
Oversize Love,"Romance, Comedy",5.4,"A fat girl with cheerful and generous personality gets caught between her feeling for her childhood sweetheart and a famous idol, after an unexpected appearance change.",China,2020,103,https://goku.sx/movie/watch-oversize-love-112546
The Instigators,"Crime, Comedy",6.2,"Rory and Cobby are unlikely partners thrown together for a heist. But when it goes awry, they team up to outrun police, backward bureaucrats, and a vengeful crime boss.",USA,2024,101,https://goku.sx/movie/watch-the-instigators-112504
One Fast Move,"Action, Drama, Romance",4.9,"A dishonorably discharged soldier seeks out his estranged father to help him pursue his dream of becoming a professional motorcycle racer. While training, he meets a small-town, aspiring singer and a motorcycle shop owner who begin to break down the walls his father’s absence had built up.",USA,2024,107,https://goku.sx/movie/watch-one-fast-move-112456
The Shakedown,"Crime, Comedy",5.0,"When his mistress threatens to expose the secret of their affair, a respected insurance broker seeks the help of his underworld brother to save his reputation.",South Africa,2024,104,https://goku.sx/movie/watch-the-shakedown-112453
Perra Vida,"Comedy, Romance",5.4,"Romina, a controlling lawyer, wants her daughter's affection. She offers rent for a recovering alcoholic's dog in exchange for a fake boyfriend role. Unexpectedly, it might turn real.",,2024,108,https://goku.sx/movie/watch-perra-vida-112450
Lolo and the Kid,Drama,6.4,A hustler and the child he took in routinely con the wealthy — but a life-changing opportunity could end their inseparable bond.,USA,2024,97,https://goku.sx/movie/watch-lolo-and-the-kid-112447
Disco Boy,"Drama, War",6.3,"After a painful journey through Europe, Aleksei, a Belarusian, joins the Foreign Legion in France and clings to a confused hope of a European identity. Jomo, a Nigerian, fights for the survival and durability of his people in the Niger Delta and is ready to die to defend his ideas. These two young people who are sacrificed and smashed together will, against all odds, meet and their destinies will merge to continue across borders, bodies, life and death...","Belgium, France, Italy, Poland, USA",2023,92,https://goku.sx/movie/watch-disco-boy-112444
Some Other Woman,"Thriller, Drama",4.6,"Eve was promised a few months on a tropical island for her husband’s work... but years later, unable to build the family they wanted, she has given up on any of her own desires. As island fever intensifies, reality unravels around Eve as a strange woman begins taking over her life piece by piece.","Canada, USA",2024,86,https://goku.sx/movie/watch-some-other-woman-112417
Widow Clicquot,Drama,6.2,"After her husband's untimely death, Barbe-Nicole Ponsardin Clicquot flouts convention by assuming the reins of the fledgling wine business they had nurtured together. Steering the company through dizzying political and financial reversals, she defies her critics and revolutionizes the champagne industry to become one of the world's first great entrepreneurs. Based on a true story.",USA,2024,90,https://goku.sx/movie/watch-widow-clicquot-112069
